RPM,Hp,Nm,afr
350.00000000000006,0.0,-0.555,18.086
535.0,0.001,-0.724,18.075
645.0350000000001,0.005,-0.299,18.086
1064.5035000000003,0.009,0.072,18.086
1456.45035,0.01,0.167,18.086
1595.6450350000005,0.01,0.12,18.086
1755.9564503500003,0.018,0.068,18.075
2375.595645035,0.022,0.052,18.086
2637.5595645035005,0.024,0.06,18.086
